CMS Region,Score_2020,Score_2022,Score_2023,Score_2024,Score_2025
1,1.0448484848484847,1.008,1.01,0.9924242424242424,0.9899999999999999
2,1.0010937500000001,1.0353968253968255,1.0291935483870969,1.06,1.0272413793103448
3,1.0122321428571428,0.989090909090909,0.9886238532110092,0.9808571428571428,0.9875238095238095
4,1.0104639175257732,0.9869651741293533,0.9867676767676767,0.9851243781094526,0.9961395348837209
5,0.9807936507936508,0.9760326086956522,0.976123595505618,0.9774863387978142,0.9744262295081967
6,1.0279090909090909,1.0176150627615064,1.0182978723404257,1.0168907563025211,1.0168595041322315
7,0.9678378378378379,0.9456756756756757,0.9465277777777779,0.9418055555555556,0.934078947368421
8,0.9974999999999999,0.9864102564102564,0.9794736842105263,0.9644186046511628,0.9572093023255813
9,1.0046428571428572,1.0055555555555555,1.0064077669902913,1.0103921568627452,1.0063106796116505
10,0.9287096774193548,0.9125806451612903,0.9113793103448276,0.9177777777777778,0.9084
