CMS Region,2025 Score,2024 Score,2023 Score,2022 Score,2020 Score
1,4.790344827586208,4.716206896551724,4.094814814814815,4.1000000000000005,4.204827586206896
2,4.935925925925926,5.210370370370371,4.199074074074074,4.361296296296296,4.5055555555555555
3,4.813723404255319,4.962872340425532,4.46125,4.15968085106383,4.317446808510638
4,4.80566265060241,4.96078313253012,4.18,4.286325301204819,4.3353012048192765
5,4.731728395061729,4.805370370370371,4.300544217687074,4.200617283950617,4.230308641975308
6,4.831021505376344,5.063225806451613,4.253066666666667,4.380967741935484,4.366881720430108
7,4.682424242424243,4.88878787878788,4.346969696969697,4.2296969696969695,4.1862121212121215
8,4.721923076923077,4.733846153846153,4.0906666666666665,4.156923076923077,4.214615384615384
9,4.694342105263158,4.81328947368421,4.165657894736842,4.256710526315789,4.293157894736843
10,4.308181818181819,4.465454545454545,4.326666666666667,4.014545454545455,4.111363636363636
