County,2023 pct 65 plus,2024 pct 65 plus,2025 pct 65 plus,Pct Growth
Beaufort,66.99030996751708,68.37864761096651,69.2046274865264,3.305429576431319
Catawba,77.36759340055104,79.47521015824515,81.52387417238113,5.372121051138293
Craven,85.9315435078776,88.10076791636047,89.93602729333091,4.660085949795839
Cumberland,56.12784483155629,57.47002514272671,58.927804967631786,4.988540259257023
Durham,50.049307966456354,51.8121503662849,53.5168790255598,6.928309700960214
Forsyth,53.759052099454195,55.415867049504705,57.09813561438962,6.211202364130459
Guilford,57.93359372638389,59.7564038776101,61.170757438331904,5.587714318633331
Lenoir,79.47451934452423,82.44900456622156,85.39537286144771,7.450002297285277
Mecklenburg,41.504252206642185,43.11112200946575,44.71579746226078,7.737870422598848
Moore,97.31762420875862,100.1904502550657,102.73482830770742,5.566519058591292
Nash,81.34562067332766,82.66664293194572,83.73007140538272,2.9312588831679944
New Hanover,78.63634372098551,81.83565405279336,84.83498367669074,7.882665523843545
Orange,55.052754082811354,56.742556557290534,58.4132250298569,6.104092343846536
Pitt,57.6590007226871,59.585364503225875,61.20686809636583,6.1531891451645535
Rowan,82.37292633377938,84.44373103004096,86.75265546476236,5.316952214658601
Vance,67.94483961364205,69.23186951625755,70.4764349564187,3.7259567572345227
Wake,43.52266368426446,45.447862626509995,47.4472726443138,9.017391464181628
