Score_2023,Score_2024,Score_2025
1.01,0.9924242424242424,0.9899999999999999
1.0291935483870969,1.06,1.0272413793103448
0.9886238532110092,0.9808571428571428,0.9875238095238095
0.9867676767676767,0.9851243781094526,0.9961395348837209
0.976123595505618,0.9774863387978142,0.9744262295081967
1.0182978723404257,1.0168907563025211,1.0168595041322315
0.9465277777777779,0.9418055555555556,0.934078947368421
0.9794736842105263,0.9644186046511628,0.9572093023255813
1.0064077669902913,1.0103921568627452,1.0063106796116505
0.9113793103448276,0.9177777777777778,0.9084
